"PK","Guid","GroupID","BaseClassID","Name","Comment","Icon","Sealed","Abstract","UseBaseClassIcon","Root","SystemType","PropertiesDisplayType","CreateFromPrototype","SupportsSaveAndCreate","UniqueIndexID","SchemeID","DefaultStageID","LinkedClassID","LinkedInheritClasses","Attributes","CanChange","InheritMasterClasses","Hidden","ObjectFormat","SupportMultiAttachment"
4609,"7ca56292-408f-40e0-b7ae-a52759d185f9",8790,0,"Рабочий стол","",NULL,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0
4610,"c5da33f6-c498-4b59-aea4-510abe6ce230",8790,4608,"Объект ТПП","",NULL,0,1,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4611,"7da84c78-e92e-410a-b935-218e00113760",8790,4610,"Технологический маршрут","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4612,"2110c100-4e35-41f0-8982-2406e160989a",8790,4608,"Объект НСИ","",NULL,0,1,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4613,"96229227-e016-434f-8a69-0eceb3023c36",8790,4612,"Стандартное изделие","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4614,"d463f2d2-1278-4446-8beb-be8a06d7e9ac",8790,4612,"Покупное изделие","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4615,"a6e213d6-fa3f-4c85-a007-328e1f779f26",8790,4610,"Технологический процесс","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4616,"b2e6fec0-ba37-466f-b4da-5faea1ac3b67",8790,4612,"Материал","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4617,"a9644081-89dc-460d-82ac-06cae218d9fa",8790,4608,"Объект КПП","",NULL,0,1,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4618,"28a70f36-2b53-4750-a12a-ab35c036f9a9",8792,0,"Логистическая форма","",NULL,0,0,1,1,0,0,0,0,0,0,0,0,0,"0",0,1,0,"",0
4619,"1eef136d-118c-47d8-9aee-d98f4434360f",8790,4617,"Деталь","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4620,"4a1290b0-d60f-4a2e-b029-26a897f84c4e",8790,4617,"Сборочная единица","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
4621,"14cdb3c8-6529-4536-8fe1-c4ee77db2fd6",8790,0,"Папка","","binary data",0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0
4622,"fed6f264-e751-4ca6-a389-4629a2f3159f",8790,4610,"Технологическая операция","",NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,"",0
